country	population
	7,613,468,783
China	1,399,520,000
India	1,353,440,000
United States	330,054,000
Indonesia	266,911,900
Brazil	210,573,000
Pakistan	206,316,000
Nigeria	200,963,599
Bangladesh	167,399,000
Russia	146,793,744
Mexico	126,577,691
Japan	126,150,000
Philippines	108,365,000
Egypt	99,416,400
Ethiopia	98,665,000
Vietnam	96,208,984
Democratic Republic of the Congo	86,790,567
Germany	83,042,200
Iran	82,859,100
Turkey	82,003,882
France	67,055,000
United Kingdom	66,435,600
Thailand	66,421,567
Italy	60,278,616
South Africa	58,775,022
Tanzania	55,890,747
Myanmar	54,339,766
Kenya	52,573,973
South Korea	51,811,167
Colombia	48,258,494
Spain	46,934,632
Argentina	44,938,712
Algeria	43,378,027
Ukraine	41,990,278
Sudan	41,937,285
Uganda	40,006,700
Iraq	39,127,900
Poland	38,386,000
Canada	37,776,700
Morocco	35,689,900
Saudi Arabia	34,218,169
Uzbekistan	33,771,720
Malaysia	32,628,200
Afghanistan	32,225,560
Venezuela	32,219,521
Peru	32,131,400
Ghana	30,280,811
Angola	30,175,553
Nepal	29,609,623
Yemen	29,161,922
Mozambique	28,571,310
Ivory Coast	25,823,071
Madagascar	25,680,342
Australia	25,533,000
North Korea	25,450,000
Cameroon	24,348,251
Taiwan	23,593,794
Niger	22,314,743
Sri Lanka	21,803,000
Burkina Faso	20,870,060
Mali	19,973,000
Romania	19,405,156
Chile	19,107,216
Kazakhstan	18,567,904
Malawi	17,563,749
Zambia	17,381,168
Netherlands	17,351,200
Ecuador	17,339,800
Syria	17,070,135
Senegal	16,209,125
Chad	15,692,969
Somalia	15,442,905
Cambodia	15,288,489
Zimbabwe	15,159,624
Guatemala	14,901,286
South Sudan	12,778,250
Rwanda	12,374,397
Guinea	12,218,357
Benin	11,733,059
Haiti	11,577,779
Tunisia	11,551,448
Belgium	11,485,729
Bolivia	11,469,896
Cuba	11,209,628
Burundi	10,953,317
Greece	10,741,165
Czech Republic	10,668,641
Jordan	10,524,100
Dominican Republic	10,358,320
Sweden	10,302,984
Portugal	10,276,617
Azerbaijan	10,027,874
Hungary	9,772,756
United Arab Emirates	9,770,529
Belarus	9,456,200
Honduras	9,158,345
Tajikistan	9,127,000
Israel	9,099,990
Austria	8,877,036
Switzerland	8,570,146
Papua New Guinea	8,558,800
Sierra Leone	7,901,454
Togo	7,538,000
Hong Kong(China)	7,524,100
Paraguay	7,152,703
Laos	7,123,205
Bulgaria	7,000,039
Serbia	6,963,764
Lebanon	6,855,713
Libya	6,777,452
El Salvador	6,704,864
Nicaragua	6,460,411
Kyrgyzstan	6,389,500
Turkmenistan	5,942,089
Denmark	5,814,461
Singapore	5,703,600
Finland	5,524,387
Central African Republic	5,496,011
Slovakia	5,450,017
Republic of the Congo	5,380,508
Norway	5,345,599
Costa Rica	5,058,007
Palestine	4,976,684
New Zealand	4,936,160
Ireland	4,921,500
Oman	4,670,745
Liberia	4,475,353
Kuwait	4,420,110
Panama	4,218,808
Croatia	4,130,304
Mauritania	4,077,347
Georgia	3,723,500
Uruguay	3,518,552
Eritrea	3,497,117
Bosnia and Herzegovina	3,301,000
Mongolia	3,282,236
Puerto Rico(U.S.)	3,195,153
Armenia	2,961,600
Albania	2,862,427
Lithuania	2,793,722
Qatar	2,747,282
Jamaica	2,726,667
Moldova	2,681,735
Namibia	2,458,936
The Gambia	2,347,706
Botswana	2,338,851
Gabon	2,172,579
Slovenia	2,084,301
North Macedonia	2,077,132
Lesotho	2,007,201
Latvia	1,911,200
Kosovo	1,795,666
Guinea-Bissau	1,604,528
Bahrain	1,543,300
East Timor	1,387,149
Trinidad and Tobago	1,359,193
Equatorial Guinea	1,358,276
Estonia	1,324,820
Mauritius	1,265,985
Eswatini	1,093,238
Djibouti	1,078,373
Fiji	884,887
Comoros	873,724
Cyprus	864,200
Guyana	782,766
Bhutan	741,672
Solomon Islands	680,806
Macau(China)	672,000
Montenegro	622,359
Luxembourg	613,894
Western Sahara	582,463
Suriname	581,372
Cape Verde	550,483
Malta	493,559
Transnistria	469,000
Brunei	442,400
Belize	408,487
Bahamas	385,340
Maldives	374,775
Iceland	360,390
Northern Cyprus	351,965
Vanuatu	304,500
Barbados	287,025
New Caledonia(France)	282,200
French Polynesia(France)	275,918
Abkhazia	244,832
São Tomé and Príncipe	201,784
Samoa	200,874
Saint Lucia	178,696
Guam(U.S.)	172,400
Curaçao(Netherlands)	158,665
Artsakh	148,000
Kiribati	120,100
Aruba(Netherlands)	112,309
Grenada	112,003
Saint Vincent and the Grenadines	110,608
Jersey(UK)	106,800
United States Virgin Islands(U.S.)	104,578
Federated States of Micronesia	104,468
Tonga	100,651
Seychelles	97,625
Antigua and Barbuda	96,453
Isle of Man(UK)	83,314
Andorra	76,177
Dominica	71,808
Cayman Islands(UK)	65,813
Bermuda(UK)	64,027
Guernsey(UK)	62,754
American Samoa(U.S.)	56,700
Greenland(Denmark)	56,225
Northern Mariana Islands(U.S.)	56,200
Marshall Islands	55,500
South Ossetia	53,532
Saint Kitts and Nevis	52,823
Faroe Islands(Denmark)	52,122
Turks and Caicos Islands(UK)	41,369
Sint Maarten(Netherlands)	40,614
Liechtenstein	38,380
Monaco	38,300
Saint-Martin(France)	35,746
Gibraltar(UK)	33,701
San Marino	33,524
British Virgin Islands(UK)	30,030
Palau	17,900
Cook Islands(NZ)	15,200
Anguilla(UK)	14,869
Wallis and Futuna(France)	11,700
Nauru	11,000
Tuvalu	10,200
Saint Barthélemy(France)	9,793
Saint Pierre and Miquelon(France)	6,008
Saint Helena, Ascension and Tristan da Cunha(UK)	5,633
Montserrat(UK)	4,989
Falkland Islands(UK)	3,198
Christmas Island(Australia)	1,928
Norfolk Island(Australia)	1,756
Niue(NZ)	1,520
Tokelau(NZ)	1,400
Vatican City	799
Cocos (Keeling) Islands(Australia)	538
Pitcairn Islands(UK)	50
